[2012/05/11 10:12:11] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:12:27] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:12:40] [INFO] [migo-1] POST:login done in 0 millis
[2012/05/11 10:12:40] [INFO] [migo-1] GET:/ done in 0 millis
[2012/05/11 10:12:40] [INFO] [migo-1] GET:chooseGroup done in 11 millis
[2012/05/11 10:12:49] [INFO] [migo-1] GET:logout done in 0 millis
[2012/05/11 10:12:49] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:13:26] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:14:09] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:14:29] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:14:59] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:15:07] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:17:27] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:17:45] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:18:06] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:18:27] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:19:03] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:19:28] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:21:36] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:22:04] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:22:57] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:23:14] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:23:39] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:25:34] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:25:52] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:26:23] [INFO] [migo-1] GET:/ done in 1 millis
[2012/05/11 10:27:01] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:27:22] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:27:36] [INFO] [migo-1] GET:/ done in 2 millis
[2012/05/11 10:54:16] [INFO] [migo-2] GET:/ done in 18 millis
[2012/05/11 10:54:27] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 10:55:12] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 10:55:33] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 10:56:30] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 10:56:49] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 10:57:14] [INFO] [migo-2] GET:/ done in 1 millis
[2012/05/11 10:57:32] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 10:58:00] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:00:04] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:00:15] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:00:34] [INFO] [migo-2] GET:/ done in 2 millis
[2012/05/11 11:01:06] [INFO] [migo-2] GET:/ done in 2 millis
